Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes
Eka Pada Bakasana A,एकपादबकासन A,Ekapādabakāsana A,One-Legged Crane Pose A,Eka = one; Pāda = foot; Baka = crane,tṛtīya śreṇī,Galavāsana,Ekapādabakāsana A,x,,x,Apertura,10,"Wrist flexors, shoulder elevators and flexors, obliques, hip extensors. Folded leg: hip adductors, internal rotators of the leg. Extended leg: knee flexors foot dorsiflexors.","Arkarna [[Daṇḍāsana]], [[Aṣṭavakrāsana]], [[Bakāsana B]], [[Ekapādarājakapotāsana]] Prep poses, [[Galavāsana]], [[Marīchyāsana A]] and C.","Front leg: hip adductors and extensors, internal rotators of the leg, knee synergists. Back leg: internal rotators of the leg, knee flexors. Abdominals, transversus abdominis, chest, shoulder stabilizers (emphasis protractors, flexors), external rotators of the arm, elbow synergists, wrist flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]], [[Vīrabhadrāsana A]].",A peak pose! Transition to [[Chaturāṅgadaṇḍāsana]].,"[[Upaviṣṭhakoṇāsana A]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Bālāsana]], [[Bhuja]]"
Eka Pada Bakasana B,एकपादबकासन B,Ekapādabakāsana B,One-Legged Crane Pose B,Eka = one; Pāda = foot; Baka = crane,tṛtīya śreṇī,Ekapādabakāsana A,Ekapādabakāsana B,x,,,,,,,,,,
Eka Pada Koundinyasana A,कोउण्डिन्यासन A,Kouṇḍinyāsana A,One-Legged Sage Koundinya’s Pose I,Eka = one; Pāda = foot; Named after Sage Koundinya,tṛtīya śreṇī,Ekapādabakāsana B,Kouṇḍinyāsana A,x,,,,10,"Wrist flexors, shoulder elevators, chest, obliques, back extensors. Front leg: hip extensors, external rotators of the leg, knee flexors. Back leg: hip flexors, knee extensors.","[[Ardha Matsyendrāsana]], [[Supta Matsyendrāsana]], Marichyasana B, [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Pārśvabakāsana]], [[Pārśvottānāsana]].","Wrist synergists, elbow synergists, rotators of the arm, shoulder stabilizers (emphasis protractors, retractors, adductors, flexors), chest, obliques, abdominals, knee extensors, foot dorsiflexors. Lower leg: hip flexors and adductors. Upper leg: hip extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Ardha Matsyendrāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]],[[Parivṛttārdhacandrāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Phalakāsana]].","Transition to [[Chaturāṅgadaṇḍāsana]], add to [[Śīrṣāsana B]] vinyasa, [[Kouṇḍinyāsana A]], [[Galavāsana]].","[[Bhuja]], [[Adhomukhaśvānāsana]], [[Bālāsana]]."
Eka Pada Koundinyasana B,कोउण्डिन्यासन B,Kouṇḍinyāsana B,One-Legged Sage Koundinya’s Pose II,Eka = one; Pāda = foot; Named after Sage Koundinya,tṛtīya śreṇī,Kouṇḍinyāsana A,Kouṇḍinyāsana B,x,,,,10,"Wrist flexors, shoulder elevators, chest, hip adductors. Front leg: hip extensors, internal rotators of the leg, knee flexors. Back leg: hip flexors, knee extensors.","[[Añjanēyāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]], [[Vīrabhadrāsana B]].","Wrist synergists, elbow synergists, rotators of the arm, shoulder stabilizers (emphasis protractors, retractors, adductors, flexors), chest, obliques, abdominals, knee extensors, foot dorsiflexors. Propped leg: hip flexors and adductors. Back leg: hip extensors, knee extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Ardhacandrāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]], [[Marīchyāsana A]], [[Phalakāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vasiṣṭhāsana]], [[Vīrabhadrāsana B]].","Transition to [[Chaturāṅgadaṇḍāsana]], [[Kouṇḍinyāsana A]], [[Kouṇḍinyāsana A]] A, [[Galavāsana]], add to [[Śīrṣāsana B]] vinyasa.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Vinyāsa]], [[Bhuja]]."
Ekapada Raja Kapotasana,एकपादराजकपोतासन,Ekapādarājakapotāsana,One-Legged King Pigeon Pose,Ekapāda = one-legged; Rāja = king; Kapota = pigeon,tṛtīya śreṇī,Rājakapotāsana,Ekapādarājakapotāsana,x,x,,,"13,4","Front leg: hip adductors and extensors, internal rotators of the leg, knee extensors. Back leg: hip flexors, external rotators of the leg, knee flexors. Abdominals, chest, shoulder extensors, retractors and elevators, neck.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Rājakapotāsana]], [[Garuḍāsana]] arms, [[Gomukhāsana B]], [[Baddhakoṇāsana A]], [[Ekapādabakāsana A]], [[Vīrabhadrāsana A]].","Pelvic floor. Front leg: hip flexors and abductors, knee flexors, foot dorsiflexors. Back leg: hip extensors and adductors, internal rotators of the leg, knee synergists. Transversus abdominis, back extensors, shoulder protractors and flexors, external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Parivṛttapārśvakoṇāsana]], [[Śalabhāsana B]], [[Vīrabhadrāsana A]].",,"[[Vinyāsa]], [[Marīchyāsana]], [[Bālāsana]]."
Ekapada Viparita Dandasana,एकपादविपरीतदण्डासन,Ekapādaviparītadaṇḍāsana,One-Legged Inverted Staff Pose,Ekapāda = one-legged; Viparīta = inverted; Daṇḍa = staff,tṛtīya śreṇī,Dvipādaviparītadaṇḍāsana,Ekapādaviparītadaṇḍāsana,x,,,,,,,,,,
Galavasana,गलवासन​,Galavāsana,Sage Galava’s Pose,Named after Sage Galava,tṛtīya śreṇī,Ūrdhvakukkutāsana,Galavāsana,x,,,,10,"Wrist flexors, shoulder elevators, retractors. Folded leg: hip extensors and adductors, internal rotators of the leg. Extended leg: hip flexors, knee flexors.","[[Bakāsana B]] and its Prep poses, [[Ekapādarājakapotāsana]] and its Prep poses, [[Utkaṭāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest abdominals. Grounded leg: external rotators, hip flexors, knee flexors. Extended leg: hip extensors, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Bakāsana B]], [[Ekapādarājakapotāsana]], [[Gomukhāsana B]], [[Padmāsana]].",[[Ekapādabakāsana A]].,"[[Vinyāsa]], [[Bālāsana]], [[Bhuja]], [[Bālāsana]]."
Ganda Bherundasana,गण्डभेरुण्डासन,Gaṇḍabheruṇḍāsana,Fierce Bird Pose,Gaṇḍa = fierce; Bheruṇḍa = a mythical bird,tṛtīya śreṇī,Viparīcchalabhāsana,Gaṇḍabheruṇḍāsana,x,,,,,,,,,,
Hanumanasana,हनुमानासन​,Hanumānāsana,Hanuman’s Pose,"Named after Hanuman, the monkey god",tṛtīya śreṇī,Suptatrivikramāsana,Hanumānāsana,x,,,,4,"Front leg: calf, knee flexors, hip extensors. Back leg: knee flexors, hip flexors. Abdominals, shoulder retractors, elevators, and extensors, elbow flexors.","[[Añjanēyāsana]], [[Jānuśīrṣāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Vajrāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Vīrabhadrāsana A]].","Pelvic floor, back extensors, transversus abdominis, hip stabilizers (emphasis flexors, adductors, and rear leg hip extensors), internal rotators of the leg, shoulder flexors, protractors, internal rotators and adductors of the arm, elbow extensors.","[[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Ekapādarājakapotāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Vīrabhadrāsana C]].","[[Ekapādarājakapotāsana]], [[Hanumānāsana]] back-bend variation, [[Naṭarājāsana A]]","[[Bālāsana]], [[Ūrdhva Dhanurāsana]]."
Kasyapasana,काश्यपासन​,Kāśyapāsana,Sage Kaśyapa’s Pose,Named after Sage Kaśyapa,tṛtīya śreṇī,Viśvāmitrāsana B,Kāśyapāsana,x,,,,,,,,,,
Nata Rajasana A,नटराजासन A,Naṭarājāsana A,Dancing King Pose A,Naṭa = dancer; Rāja = king,tṛtīya śreṇī,Utthita Trivikramāsana,Naṭarājāsana A,x,,x,Equilibrio,1,"Standing leg: knee flexors. Gesture leg: hip flexors, external rotators, foot dorsiflexors. Abdominals, chest, shoulder extensors and elevators, throat.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ekapādarājakapotāsana]], [[Gomukhāsana B]], [[Baddhakoṇāsana A]], [[Vajrāsana A]], [[Tāḍāsana]], [[Ūrdhva Dhanurāsana]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana C]].","Standing leg: intrinsic foot muscles, knee extensors. Pelvic floor, back extensors, transversus abdominis, hip stabilizers (emphasis flexors, adductors, and rear leg hip extensors), internal rotators of the leg, shoulder flexors, protractors. Bound arm: internal rotators, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bhekāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Laghu Vajrāsana]],[[Rājakapotāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana C]], [[Vṛkṣāsana]].","Drop Backs, [[Ekapādarājakapotāsana]].","[[Ardhottānāsana]], [[Apānāsana]], [[Supta Matsyendrāsana]], [[Marīchyāsana]], [[Paścimottānāsana A]], [[Sarvāṅgāsana]], [[Sarvāṅgāsana]], [[Śavāsana]]."
Nata Rajasana B,नट राजासन B,Naṭarājāsana B,Dancing King Pose B,Naṭa = dancer; Rāja = king,tṛtīya śreṇī,Naṭarājāsana A,Naṭarājāsana B,x,,,,,,,,,,
Purna Matsyendrasana,पूर्णमत्स्येन्द्रासन,Pūrṇamatsyendrāsana,Full Lord of the Fishes Pose,Pūrṇa = full; Named after Sage Matsyendra,tṛtīya śreṇī,Aṣṭavakrāsana,Pūrṇamatsyendrāsana,x,,,,,,,,,,
Raja Kapotasana,राजकपोतासन,Rājakapotāsana,King Pigeon Pose,Rāja = king; Kapota = pigeon,tṛtīya śreṇī,Naṭarājāsana B,Rājakapotāsana,x,,,,13,"Knee flexors, hip flexors, abdominals, chest, shoulder elevators and flexors, wrist flexors.","[[Bharmanāsana]]. In it’s gradual expression, an  pose for back bends.","Wrist flexors, elbow flexors, rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, and retractors), transversus abdominis, spine extensors, hip extensors, knee extensors, calves.","[[Bharmanāsana]]. In its gradual expression, a preparatory pose for back bends.","[[Ūrdhvamukhaśvānāsana]],[[Rājakapotāsana]], [[Uṣṭrāsana]], [[Bhekāsana]], [[Ekapādabakāsana A]].","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Supta Matsyendrāsana]], [[Apānāsana]], [[Baddhakoṇāsana B]]."
Skandasana,स्कन्दासन​,Skandāsana,Warrior God Skanda’s Pose,"Named after Skanda, the warrior god",tṛtīya śreṇī,Bhairavāsana,Skandāsana,x,,,,,,,,,,
Supta Trivikramasana,सुप्तत्रिविक्रमासन,Suptatrivikramāsana,Reclined Trivikrama Pose,Supta = reclined; Trivikrama = three steps (an epithet of Vishnu),tṛtīya śreṇī,Gaṇḍabheruṇḍāsana,Suptatrivikramāsana,x,,,,,,,,,,
Urdhva Kukkutasana,ऊर्ध्वकुक्कुतासन,Ūrdhvakukkutāsana,Upward Rooster Pose,Ūrdhva = upward; Kukkuta = rooster,tṛtīya śreṇī,Ūrdhvakukkutāsana C,Ūrdhvakukkutāsana,x,,,,"4,10","Wrist flexors, elbow flexors, shoulder elevators and retractors, back extensors, hip adductors and extensors, internal rotators of the leg, knee extensors.","[[Bakāsana B]] and its Prep poses, [[Padmāsana]] and its Prep poses, [[Śīrṣāsana]]I.","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest abdominals, hip adductors and flexors, pelvic floor, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Chaturāṅgadaṇḍāsana]], [[Jānuśīrṣāsana A]], [[Kūrmāsana]], [[Lolasana]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Tiṭṭibhāsana A]], [[Utplutiḥ]], [[Ekapādabakāsana A]].",Add to [[Śīrṣāsana]] vinyasa; transition into asana from [[Adhomukhavṛkṣāsana]].,"[[Vinyāsa]], [[Bālāsana]], [[Baddhakoṇāsana B]], [[Bhuja]]."
Urdhva Kukkutasana A,ऊर्ध्वकुक्कुतासन A,Ūrdhvakukkutāsana A,Upward Rooster Pose,Ūrdhva = upward; Kukkuta = rooster,tṛtīya śreṇī,Durvāsana,Ūrdhvakukkutāsana A,x,,,,,,,,,,
Urdhva Kukkutasana B,ऊर्ध्वकुक्कुतासन B,Ūrdhvakukkutāsana B,Upward Rooster Pose,Ūrdhva = upward; Kukkuta = rooster,tṛtīya śreṇī,Ūrdhvakukkutāsana A,Ūrdhvakukkutāsana B,x,,,,,,,,,,
Urdhva Kukkutasana C,ऊर्ध्वकुक्कुतासन C,Ūrdhvakukkutāsana C,Upward Rooster Pose,Ūrdhva = upward; Kukkuta = rooster,tṛtīya śreṇī,Ūrdhvakukkutāsana B,Ūrdhvakukkutāsana C,x,,,,,,,,,,
Utthita Trivikrmasana,उत्थित त्रिविक्रमासन​,Utthita Trivikramāsana,Extended Trivikrama Pose,Utthita = extended; Trivikrama = three steps (an epithet of Vishnu),tṛtīya śreṇī,Dikāsana B,Utthita Trivikramāsana,x,,,,,,,,,,
Vasisthasana,वसिष्ठासन​,Vasiṣṭhāsana,Side Plank Pose,Named after Sage Vasiṣṭha,tṛtīya śreṇī,Pārśvottānāsana,Vasiṣṭhāsana,x,,x,Entrega,4,"Shoulder elevators and retractors, chest.","[[Adhomukhaśvānāsana]], [[Ardhacandrāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana B]] and D, [[Suptapādāṅguṣṭhāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Utthitatrikoṇāsana]], [[Vṛkṣāsana]].","Grounded leg: intrinsic foot muscles. Hip stabilizers, (emphasis abductors, external rotators of the leg). Extended leg: external rotators, hip flexors. Knee extensors, back extensors, transversus abdominis, obliques. Grounded arm: wrist synergists. Top arm: shoulder retractors, protractors, and flexors. Elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhacandrāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Chaturāṅgadaṇḍāsana]], [[Parighāsana]], [[Phalakāsana]], [[Tāḍāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].",Transition to [[Vasiṣṭhāsana]] or [[Kouṇḍinyāsana A]] A.,"[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Gomukhāsana B]], [[Bhuja]], [[Bālāsana]]."
Viparita Salabhasana,विपरीच्छलभासन,Viparīcchalabhāsana,Inverted Locust Pose,Viparīta = inverted; Śalabhā = locust,tṛtīya śreṇī,Ekapādaviparītadaṇḍāsana,Viparīcchalabhāsana,x,,,,,,,,,,
Viranchyasana A,विरञ्छ्यासन A,Virañchyāsana A,Sage Virañcha’s Pose A,Named after Sage Virañcha,tṛtīya śreṇī,Pūrṇamatsyendrāsana,Virañchyāsana A,x,,,,,,,,,,
Viranchyasana B,विरञ्छ्यासन B,Virañchyāsana B,Sage Virañcha’s Pose B,Named after Sage Virañcha,tṛtīya śreṇī,Virañchyāsana A,Virañchyāsana B,x,,,,,,,,,,
Visvamitrasana A,विश्वामित्रासन A,Viśvāmitrāsana A,Sage Visvamitra’s Pose,Named after Sage Visvamitra,tṛtīya śreṇī,Vasiṣṭhāsana,Viśvāmitrāsana A,x,,,,,,,,,,
Visvamitrasana B,विश्वामित्रासन B,Viśvāmitrāsana B,Sage Visvamitra’s Pose,Named after Sage Visvamitra,tṛtīya śreṇī,Viśvāmitrāsana A,Viśvāmitrāsana B,x,,,,,,,,,,
Ardha Baddha Padma Paschimottanasana,अर्धबद्धपद्मपश्चिमोत्तानासन,Ardhabaddhapadmapaścimottānāsana,Half Bound Lotus Forward Bend,Ardha = half; Baddha = bound; Padma = lotus; Paścima = west; Uttāna = intense stretch,yoga cikitsā,Pūrvottānāsana,Ardhabaddhapadmapaścimottānāsana,x,,,,,,,,,,
Ardha Baddha Padmottanasana,अर्धबद्धपद्मोत्तानासन,Ardhabaddhapadmottānāsana,Half Bound Lotus Forward Bend,Ardha = half; Baddha = bound; Padma = lotus; Uttāna = intense stretch,yoga cikitsā,Utthitahastapādāṅguṣṭhāsana C,Ardhabaddhapadmottānāsana,x,,,,8,"Standing leg: knee flexors, hip extensors. Folded leg: knee extensors, hip adductors, internal rotators of the leg. Back extensors, shoulder extensors of bound arm.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Gomukhāsana B]], [[Jānuśīrṣāsana A]], [[Padmāsana]], [[Paścimottānāsana A]], [[Uttānāsana]], [[Vṛkṣāsana]].","Standing leg: intrinsic muscles of foot, knee extensors, hip abductors, adductors and extensors, internal rotators of leg.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Jānuśīrṣāsana A]], [[Padmāsana]], [[Pārśvottānāsana]], [[Paścimottānāsana A]], [[Tāḍāsana]], [[Uttānāsana]], [[Vṛkṣāsana]].","Other [[Padmāsana]] poses: [[Kukkuṭāsana]], [[Ardhabaddhapadmapaścimottānāsana]]; [[Ardhabaddhapadmapaścimottānāsana]] to [[Chaturāṅgadaṇḍāsana]] (keeping Half Lotus positioning), to [[Adhomukhaśvānāsana]], hop forward to [[Tāḍāsana]]; [[Bharadvājāsana]].","[[Tāḍāsana]], [[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]]."
Baddha Konasana A,बद्धकोणासन A,Baddhakoṇāsana A,Bound Angle Pose A,Baddha = bound; Koṇa = angle,yoga cikitsā,Kukkuṭāsana,Baddhakoṇāsana A,x,x,,,4,"Calves, knee flexors, hip extensors, shoulder extensors and retractors, internal rotators of the arm.","[[Anāhatāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Uttānāsana]], [[Anāhatāsana]]. For arms and shoulders these respective arm forms: [[Tāḍāsana]], [[Gomukhāsana B]], [[Garuḍāsana]].","Intrinsic foot muscles, internal rotators of the leg, hip flexors and adductors, back extensors, transversus abdominis, shoulder stabilizers (emphasis protractors, flexors), external rotators of the arm, elbow flexors, wrist flexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Phalakāsana]], [[Uttānāsana]].","Other back bends, such as [[Rājakapotāsana]], [[Bhekāsana]], [[Dhanurāsana]], [[Kapotāsana B]], [[Laghu Vajrāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Paścimottānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]]."
Baddha Konasana B,बद्धकोणासन B,Baddhakoṇāsana B,Bound Angle Pose B,Baddha = bound; Koṇa = angle,yoga cikitsā,Baddhakoṇāsana A,Baddhakoṇāsana B,x,,,,4,"Hip adductors, internal rotators of the leg, abdominals, chest.","[[Baddhakoṇāsana B]] and its Prep poses, [[Suptapādāṅguṣṭhāsana A]], [[Vajrāsana A]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].",The strap and bolster.,In itself a restorative that can be practiced independently or after any practice.,"Practice with a block under the sacrum or along the spine between shoulder blades; place sandbags on the thighs, or bolster along the spine.","[[Apānāsana]], [[Ānandabālāsana]], [[Supta Matsyendrāsana]], [[Sarvāṅgāsana]], [[Śavāsana]]."
Bhujapidasana,भुजपीडासन​,Bhujapīḍāsana,Shoulder-Pressing Pose,Bhuja = arm; Pīḍa = pressure,yoga cikitsā,Nāvāsana,Bhujapīḍāsana,x,,,,1,"Wrist flexors, shoulder retractors and elevators, hip extensors, back extensors, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Kūrmāsana]], [[Mālāsana]], [[Ekapādabakāsana A]], [[Prasāritapādottānāsana A]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, pelvic floor, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Bakāsana B]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Prasāritapādottānāsana A]]","[[Tiṭṭibhāsana A]], [[Bakāsana B]], [[Aṣṭavakrāsana]].","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Bhuja]]."
Dandasana,दण्डासन​,Daṇḍāsana,Staff Pose,Daṇḍa = staff,yoga cikitsā,Vīrabhadrāsana B,Daṇḍāsana,x,,,,4,"Calves, knee flexors, hip extensors, elbow flexors, shoulder elevators.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","Hip flexors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, transversus abdominis, shoulder synergists (emphasis protractors, retractors, extensors), external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","[[Paścimottānāsana]], hip openers, and twists; [[Pūrvottānāsana]]","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Baddhakoṇāsana B]], [[Sarvāṅgāsana]], [[Śavāsana]]."
Garbha Pindasana,गर्भपिण्डासन,Garbhapiṇḍāsana,Embryo in the Womb Pose,Garbha = womb; Piṇḍa = embryo,yoga cikitsā,Suptakūrmāsana,Garbhapiṇḍāsana,x,,,,4,"Hip adductors and extensors, internal rotators of the leg, back extensors, shoulder retractors and elevators.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Pādāṅguṣṭhāsana]], [[Padmāsana]], [[Paścimottānāsana A]], [[Piṇḍāsana]], [[Prasāritapādottānāsana A]] and D, [[Ūrdhvamukhapaścimottānāsana]], [[Uttānāsana]].","Hip flexors, external rotators of the leg, pelvic floor, abdominals, back extensors, knee flexors, shoulder retractors and adductors, elbow flexors.","[[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Kūrmāsana]], [[Mālāsana]], [[Padmāsana]], [[Prasāritapādottānāsana A]], [[Ubhayapādāṅguṣṭhāsana]], [[Upaviṣṭhakoṇāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Piṇḍāsana]], [[Matsyāsana]].","[[Matsyāsana]] Prep, [[Uttānapādāsana]], [[Śavāsana]]."
Janu Sirsasana A,जानुशीर्षासन A,Jānuśīrṣāsana A,Head to Knee Pose A,Jānu = knee; Śīrṣa = head,yoga cikitsā,Tryaṅgamukhaikapāda Paścimottānāsana,Jānuśīrṣāsana A,x,x,,Apertura,4,"Extended leg: calf, knee flexors, hip extensors. Folded leg: knee extensors, hip adductors, rotators, and extensors. Back extensors, shoulder retractors and elevators.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Vṛkṣāsana]].","Hip flexors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: external rotators, knee flexors. Transversus abdominis, back extensors, obliques, shoulder depressors.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]] and [[Prasāritapādottānāsana D]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","[[Parivṛtta Jānuśīrṣāsana]], [[Upaviṣṭhakoṇāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]].","[[Apānāsana]], [[Ūrdhva Dhanurāsana]], [[Gomukhāsana B]]."
Janu Sirsasana B,जानुशीर्षासन B,Jānuśīrṣāsana B,Head to Knee Pose B,Jānu = knee; Śīrṣa = head,yoga cikitsā,Jānuśīrṣāsana A,Jānuśīrṣāsana B,x,,,,,,,,,,
Janu Sirsasana C,जानुशीर्षासन C,Jānuśīrṣāsana C,Head to Knee Pose C,Jānu = knee; Śīrṣa = head,yoga cikitsā,Jānuśīrṣāsana B,Jānuśīrṣāsana C,x,,,,,,,,,,
Kukkutasana,कुक्कुटासन​,Kukkuṭāsana,Cockerel Pose,Kukkuṭa = rooster,yoga cikitsā,Piṇḍāsana,Kukkuṭāsana,x,,,,10,"Hip adductors and extensors, internal rotators of the leg. Back extensors, chest, shoulder retractors and elevators, elbow flexors.","[[Bakāsana B]], [[Padmāsana]] and its Prep poses.","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest abdominals, hip adductors and flexors, pelvic floor, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garbhapiṇḍāsana]], [[Jānuśīrṣāsana A]], [[Kūrmāsana]], [[Lolasana]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Tiṭṭibhāsana A]], [[Utplutiḥ]], [[Ūrdhvakukkutāsana]], [[Ekapādabakāsana A]].",[[Ūrdhvakukkutāsana]].,"[[Daṇḍāsana]], [[Paścimottānāsana A]], [[Gomukhāsana B]], [[Bālāsana]]."
Kurmasana,कूर्मासन​,Kūrmāsana,Tortoise Pose,Kūrma = tortoise,yoga cikitsā,Bhujapīḍāsana,Kūrmāsana,x,,,,4,"Hip adductors and extensors, internal rotators of the leg. Back extensors, shoulder retractors and elevators.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Upaviṣṭhakoṇāsana A]].","Hip synergists, external rotators of the leg, back extensors, abdominals, shoulder stabilizers (emphasis depressors, protractors), internal rotators of the arm, elbow extensors.","[[Daṇḍāsana]], [[Ekapādaśīrṣāsana]], [[Jānuśīrṣāsana A]], [[Mālāsana]], [[Marīchyāsana A]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana A]], [[Uttānāsana]].","[[Tiṭṭibhāsana A]], [[Ekapādaśīrṣāsana]], [[Suptakūrmāsana]].","[[Marīchyāsana]], [[Ūrdhva Dhanurāsana]], [[Apānāsana]], [[Bālāsana]]."
