Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes
Eka Pada Sirsasana A,एकपादशीर्षासन,Ekapādaśīrṣāsana,One-Legged Headstand,Eka = one; Pāda = foot; Śīrṣa = head,nāḍī śodhana,Ardha Matsyendrāsana,Ekapādaśīrṣāsana,x,,,,4,"Grounded leg: hip synergists, external rotators of the leg, knee flexors, calf. Sirsa leg: hip adductors and extensors, internal rotators of the leg. Back extensors, shoulder elevators, chest.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Agnistambhāsana]], [[Ākarṇa Dhanurāsana]], [[Añjanēyāsana]], [[Ardhabaddhapadmottānāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Rājakapotāsana]], [[Gomukhāsana B]], [[Mālāsana]], [[Ekapādabakāsana A]], [[Vīrabhadrāsana A]].","Hip flexors and adductors. Grounded leg: internal rotators of the leg, knee extensors, foot dorsiflexors. Gesture leg: external rotators, knee flexors. Transversus abdominis, back extensors, obliques, shoulder retractors.","[[Ākarṇa Dhanurāsana]], [[Ekapādarājakapotāsana]] Prep, [[Gomukhāsana B]], [[Karṇapīḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Uttānāsana]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]].","[[Cakorāsana]], [[Dvipādaśīrṣāsana]], [[Yoga Nidrāsana]].","[[Vinyāsa]], [[Marīchyāsana]], [[Bālāsana]]."
Gomukhasana A,गोमुखासन अ,Gomukhāsana A,Cow Face Pose A,Go = cow; Mukha = face,nāḍī śodhana,Parighāsana,Gomukhāsana A,x,x,,,,,,,,,
Gomukhasana B,गोमुखासन ब्,Gomukhāsana B,Cow Face Pose B,Go = cow; Mukha = face,nāḍī śodhana,Gomukhāsana A,Gomukhāsana B,x,,,,4,"Hip adductors, extensors, and rotators. Back extensors, shoulder retractors and elevators. Top arm: shoulder and elbow extensors. Bottom arm: shoulder flexors, external rotators of the arm.","[[Ardha Matsyendrāsana]], [[Marīchyāsana C]], [[Parivṛtta Jānuśīrṣāsana]], [[Paścimottānāsana A]], [[Vīrabhadrāsana A]].","Hip flexors and adductors, external rotators of the leg, pelvic floor, transversus abdominis, knee flexors. Lower arm: internal rotators, shoulder extensors. Upper Arm: shoulder flexors, protractors, and adductors, elbow flexors.","[[Ardha Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Jānuśīrṣāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Ekapādarājakapotāsana]], [[Bharadvājāsana]] and [[Mṛgāsana]].","[[Daṇḍāsana]], [[Baddhakoṇāsana B]], [[Upaviṣṭhakoṇāsana A]], [[Adhomukhaśvānāsana]]."
Kapotasana A,कपोतासन B,Kapotāsana B,Pigeon Pose,Kapota = pigeon,nāḍī śodhana,Kapotāsana A,Kapotāsana B,x,,x,Apertura,13,"Knee flexors, hip flexors, foot dorsiflexors, abdominals, chest, shoulder elevators and flexors, upper back muscles, wrist flexors.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Laghu Vajrāsana]], [[Bhujaṅgāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","Wrist synergists, elbow flexors, external rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, and retractors), neck, transversus abdominis, back extensors, hip adductors and flexors, knee flexors, calves.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].",A peak pose! [[Laghu Vajrāsana]].,"Prone [[Śavāsana]], [[Marīchyāsana]], [[Vinyāsa]], [[Bālāsana]], [[Śavāsana]]."
Kapotasana B,कपोतासन A,Kapotāsana A,Pigeon Pose,Kapota = pigeon,nāḍī śodhana,Laghu Vajrāsana,Kapotāsana A,x,,x,Apertura,,,,,,,
Karandavasana,करन्दावासन​,Karandāvāsana,Duck Pose,Karanda = duck,nāḍī śodhana,Piñchamayūrāsan,Karandāvāsana,x,,,,,,,,,,
Krounchasana,क्रोउन्चासन​,Krouncāsana,Heron Pose,Krauñca = heron (a bird),nāḍī śodhana,Pāśāsana,Krouncāsana,x,,,,4,"[[Vīrabhadrāsana A]] leg: foot dorsiflexors, knee extensors. Extended leg: hip extensors, knee flexors. Shoulder elevators.","[[Daṇḍāsana]], [[Paścimottānāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Vīrabhadrāsana A]].","Hip flexors and adductors, internal rotators of the leg, back extensors, abdominals, shoulder depressors and flexors. Extended leg: knee extensors, calf.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Marīchyāsana A]], [[Pādahastāsana]], [[Pārśvottānāsana]], [[Paścimottānāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Vīrabhadrāsana A]], [[Ubhayapādāṅguṣṭhāsana]].","Pick up and float back to [[Chaturāṅgadaṇḍāsana]], [[Ekapādaśīrṣāsana]] to [[Cakorāsana]] vinyasa; [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].","[[Vinyāsa]], [[Bālāsana]]."
Laghu Vajrasana,लघु वज्रासन​,Laghu Vajrāsana,Little Thunderbolt Pose,Laghu = little; Vajra = thunderbolt,nāḍī śodhana,Uṣṭrāsana,Laghu Vajrāsana,x,x,x,Apertura,13,"Knee extensors, hip flexors, abdominals, shoulder extensors, elbow extensors, chest, throat.","[[Vajrāsana A]], [[Uṣṭrāsana]] and its Prep poses, [[Vīrabhadrāsana A]].","Knee extensors, hip adductors and extensors, internal rotators of the leg, back extensors, transversus abdominis, shoulder stabilizers (emphasis retractors/protractors, extensors), internal rotators of the arm, elbow flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Dvipādaviparītadaṇḍāsana]].","[[Kapotāsana B]], drop-backs, [[Naṭarājāsana A]], ticktocks.","[[Bālāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Paścimottānāsana]]."
Mayurasana,मयूरासन​,Mayūrāsana,Peacock Pose,Mayūra = peacock,nāḍī śodhana,Karandāvāsana,Mayūrāsana,x,,,,,,,,,,
Mukta Hasta Sirsasana A,मुक्तहस्तशीर्षासन A,Muktahastaśīrṣāsana A,Free Hand Headstand A,Mukta = free; Hasta = hand; Śīrṣa = head,nāḍī śodhana,Gomukhāsana B,Muktahastaśīrṣāsana A,x,,,,,,,,,,
