Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Kurmasana,कूर्मासन​,Kūrmāsana,Tortoise Pose,Kūrma = tortoise,yoga cikitsā,Bhujapīḍāsana,Kūrmāsana,x,,,,4,"Hip adductors and extensors, internal rotators of the leg. Back extensors, shoulder retractors and elevators.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Upaviṣṭhakoṇāsana A]].","Hip synergists, external rotators of the leg, back extensors, abdominals, shoulder stabilizers (emphasis depressors, protractors), internal rotators of the arm, elbow extensors.","[[Daṇḍāsana]], [[Ekapādaśīrṣāsana]], [[Jānuśīrṣāsana A]], [[Mālāsana]], [[Marīchyāsana A]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana A]], [[Uttānāsana]].","[[Tiṭṭibhāsana A]], [[Ekapādaśīrṣāsana]], [[Suptakūrmāsana]].","[[Marīchyāsana]], [[Ūrdhva Dhanurāsana]], [[Apānāsana]], [[Bālāsana]].",044
Laghu Vajrasana,लघु वज्रासन​,Laghu Vajrāsana,Little Thunderbolt Pose,Laghu = little; Vajra = thunderbolt,nāḍī śodhana,Uṣṭrāsana,Laghu Vajrāsana,x,x,x,Apertura,13,"Knee extensors, hip flexors, abdominals, shoulder extensors, elbow extensors, chest, throat.","[[Vajrāsana A]], [[Uṣṭrāsana]] and its Prep poses, [[Vīrabhadrāsana A]].","Knee extensors, hip adductors and extensors, internal rotators of the leg, back extensors, transversus abdominis, shoulder stabilizers (emphasis retractors/protractors, extensors), internal rotators of the arm, elbow flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Dvipādaviparītadaṇḍāsana]].","[[Kapotāsana B]], drop-backs, [[Naṭarājāsana A]], ticktocks.","[[Bālāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Paścimottānāsana]].",045
Marichyasana A,मरीछ्यासन A,Marīchyāsana A,Sage Marichi’s Pose A,Named after Sage Marichi,yoga cikitsā,Jānuśīrṣāsana C,Marīchyāsana A,x,,,,6,"Grounded leg: calf, knee flexors. Gesture leg: knee extensors, external rotators. Hip extensors, back extensors, shoulder retractors, elevators.","[[Añjanēyāsana]], [[Ardhabaddhapadmottānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]].","Hip flexors and adductors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: internal rotators, knee flexors. Abdominals, back extensors, obliques, shoulder depressors and extensors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Daṇḍāsana]], [[Ekapādaśīrṣāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Ākarṇa Dhanurāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Mālāsana]], [[Tiṭṭibhāsana A]], [[Ekapādaśīrṣāsana]], [[Tryaṅgamukhaikapāda Paścimottānāsana]].","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Supta Matsyendrāsana]], [[Ānandabālāsana]].",046
Marichyasana C,मरीछ्यासन C,Marīchyāsana C,Sage Marichi’s Pose C,Named after Sage Marichi,yoga cikitsā,Marīchyāsana B,Marīchyāsana C,x,,,,6,"Grounded leg: calf, knee flexors. Gesture leg: knee extensors, external rotators. Hip extensors, back extensors, obliques, chest, shoulder retractors and elevators, throat.","[[Marīchyāsana A]] and its Prep poses, [[Ardha Matsyendrāsana]].","Hip flexors and adductors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: hip abductors, knee flexors. Abdominals, back extensors, obliques, shoulder depressors and extensors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Ardha Matsyendrāsana]], [[Ardhottānāsana]], [[Daṇḍāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Ekapādabakāsana A]].","[[Ardha Matsyendrāsana]], [[Bharadvājāsana]], [[Pārśvabakāsana]], [[Kouṇḍinyāsana B]].","Symmetrical forward bends, [[Baddhakoṇāsana B]], [[Upaviṣṭhakoṇāsana A]], [[Baddhakoṇāsana B]].",047
Matsyasana,मत्स्यासन​,Matsyāsana,Fish Pose,Matsya = fish,samāpana,Urdhva Padmasana,Uttana Padasana,x,,x,Entrega,3,"Knee extensors, hip adductors and extensors, internal rotators of the leg. Abdominals, chest, shoulder flexors, throat.","[[Padmāsana]] and its Prep poses, [[Ūrdhva Dhanurāsana]], [[Uttānapādāsana]]","Hip flexors, adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, transversus abdominis, shoulder retractors and extensors, elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Daṇḍāsana]], [[Dhanurāsana]], [[Nāvāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","Transition to [[Uttānapādāsana]], [[Cakorāsana]].","[[Apānāsana]], [[Ānandabālāsana]], [[Śavāsana]].",048
Malasana,मालासन,Mālāsana,Garland Pose,Mālā = garland; Āsana = posture,,,,,x,,,4,"Calves, knee extensors, hip extensors and adductors, internal rotators of the leg, back extensors, chest, shoulder elevators and retractors.","[[Baddhakoṇāsana B]], [[Marīchyāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Vīrabhadrāsana A]].","Intrinsic foot muscles, knee flexors, hip flexors and adductors, external rotators of the leg, pelvic floor, abdominals, back extensors, shoulder retractors and extensors, elbow flexors, wrist flexors.","[[Ardhottānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Uttānāsana]], [[Vīrabhadrāsana B]].","[[Ākarṇa Dhanurāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Tiṭṭibhāsana A]].","[[Bālāsana]], [[Paścimottānāsana A]], [[Adhomukhaśvānāsana]], [[Marīchyāsana]], [[Uttānāsana]].",049
Nata Rajasana A,नटराजासन A,Naṭarājāsana A,Dancing King Pose A,Naṭa = dancer; Rāja = king,tṛtīya śreṇī,Utthita Trivikramāsana,Naṭarājāsana A,x,,x,Equilibrio,1,"Standing leg: knee flexors. Gesture leg: hip flexors, external rotators, foot dorsiflexors. Abdominals, chest, shoulder extensors and elevators, throat.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ekapādarājakapotāsana]], [[Gomukhāsana B]], [[Baddhakoṇāsana A]], [[Vajrāsana A]], [[Tāḍāsana]], [[Ūrdhva Dhanurāsana]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana C]].","Standing leg: intrinsic foot muscles, knee extensors. Pelvic floor, back extensors, transversus abdominis, hip stabilizers (emphasis flexors, adductors, and rear leg hip extensors), internal rotators of the leg, shoulder flexors, protractors. Bound arm: internal rotators, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bhekāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Laghu Vajrāsana]],[[Rājakapotāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana C]], [[Vṛkṣāsana]].","Drop Backs, [[Ekapādarājakapotāsana]].","[[Ardhottānāsana]], [[Apānāsana]], [[Supta Matsyendrāsana]], [[Marīchyāsana]], [[Paścimottānāsana A]], [[Sarvāṅgāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",050
Navasana,नावासन​,Nāvāsana,Boat Pose,Nāva = boat,yoga cikitsā,Marīchyāsana D,Nāvāsana,x,,x,Esfuerzo,14,"Hip extensors, knee flexors, back extensors, chest, shoulder retractors and elevators.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","Hip flexors, adductors, internal rotators of the leg, knee extensors, calves, back extensors, transversus abdominis, shoulder protractors and retractors, external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Tapas]].","Transition to Ardha [[Nāvāsana]] with kapalabhati pranayama, then back up; press into [[Lolasana]] between rounds; [[Utplutiḥ]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].",,051
Padmasana,पद्मासन​,Padmāsana,Lotus Pose,Padma = lotus,samāpana,Yoga Mudra,Utplutih,x,x,,,"3,4","Hip adductors and extensors, internal rotators of the leg, knee extensors.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Ekapādarājakapotāsana]] and its Prep poses, [[Gomukhāsana B]], [[Vīrabhadrāsana A]].","Hip flexors, external rotators of the leg, pelvic floor, transversus abdominis, back extensors, knee flexors, shoulder retractors and protractors.","[[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bharadvājāsana]], [[Gomukhāsana B]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","[[Utplutiḥ]], [[Matsyāsana]], [[Ūrdhvapadmāsana]], [[Ūrdhvakukkutāsana]], yoga mudra.","[[Daṇḍāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Adhomukhaśvānāsana]].",052
Parighasana,परिघासन​,Parighāsana,Gate Pose,Parigha = gate,nāḍī śodhana,Vātāyanāsana,Parighāsana,x,,,,4,"Standing leg: calf, knee flexors, hip extensors, external rotators of the leg. Gesture leg: foot dorsiflexors, knee flexors, hip flexors. Obliques, chest, shoulder retractors and elevators.","[[Parivṛttatrikoṇāsana]] and its Prep poses, [[Vīrabhadrāsana C]] and its Prep poses.","Standing leg: intrinsic foot muscles, hip stabilizers (emphasis flexors, adductors). Extended leg: hip extensors. Knee extensors, back extensors, transversus abdominis, obliques, shoulder retractors and protractors, elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvottānāsana]], [[Utthitahastapādāṅguṣṭhāsana A, [[Vīrabhadrāsana C]], [[Vṛkṣāsana]].","Clasp lifted-side foot with lifted hand, transition to [[Vīrabhadrāsana C]], [[Adhomukhavṛkṣāsana]], then [[Chaturāṅgadaṇḍāsana]]. Do not transition directly to [[Ardhacandrāsana]].","[[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Gomukhāsana B]].",053
Parivrtta Janusirsasana,परिवृत्त जानुशीर्षासन,Parivṛtta Jānuśīrṣāsana,Revolved Head-to-Knee Pose,Parivṛtta = revolved; Jānu = knee; Śīrṣa = head; āsana = posture,,,,,,,,4,"Extended leg: calf, knee flexors. Folded leg: knee extensors. Hip extensors and adductors, internal rotators of the leg. Folded leg side of torso: obliques, ribs, abdominals, back extensors, shoulder extensors and elevators.","[[Baddhakoṇāsana B]], [[Jānuśīrṣāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitapārśvakoṇāsana]], [[Vṛkṣāsana]].","Hip flexors. Extended leg: rotators, knee extensors, foot dorsiflexors. Folded leg: external rotators, knee flexors. Transversus abdominis, back extensors, obliques, shoulder retractors and protractors, top shoulder adductors, bottom shoulder abductors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]].","[[Upaviṣṭhakoṇāsana A]], [[Baddhakoṇāsana B]], [[Kūrmāsana]].","Symmetrical forward bends, [[Baddhakoṇāsana B]], [[Apānāsana]].",054
Parivrtta Hasta Padangusthasana,परिवृत्तहस्तपादाङ्गुष्ठासन,Parivṛttahastapādāṅguṣṭhāsana,Revolved Hand-to-Big-Toe Pose,Parivṛtta = revolved; Hasta = hand; Pādāṅguṣṭha = big toe; āsana = posture,,,,,,,,8,"Standing leg: calf, knee flexors, hip flexors. Gesture leg: calf, knee flexors, hip extensors, external rotators of the leg. Obliques, chest, shoulder retractors and elevators.","[[Parivṛttatrikoṇāsana]] and its Prep poses, [[Utthitahastapādāṅguṣṭhāsana A]] and its Prep poses, [[Vīrabhadrāsana C]] and its Prep poses.","Standing leg: intrinsic foot muscles. Hip stabilizers, knee extensors, (emphasis adductors, internal rotators of the leg). Extended leg: hip flexors. Back extensors, transversus abdominis, obliques, shoulder retractors, protractors, and abductors, internal rotators of Hasta Pada arm, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Daṇḍāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvottānāsana]], [[Vīrabhadrāsana C]], [[Vṛkṣāsana]].","Transition to [[Utthitahastapādāṅguṣṭhāsana A]], [[Vīrabhadrāsana C]], [[Adhomukhavṛkṣāsana]], then [[Chaturāṅgadaṇḍāsana]].","[[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Gomukhāsana B]].",055
Parivritta Parshvakonasana,परिवृत्तपार्श्वकोणासन,Parivṛttapārśvakoṇāsana,Revolved Side Angle Pose,Parivṛtta = revolved; Pārśva = side; Koṇa = angle,ādhāra,Utthitapārśvakoṇāsana,Prasāritapādottānāsana A,x,,x,Vitalidad,5,"Front leg: calf, hip extensors, external rotators of the leg. Back leg: calf, knee flexors, hip flexors. Obliques, chest. Gesture arm: shoulder flexors. Grounded arm: shoulder elevators.","[[Añjanēyāsana]], [[Ālāsana]], [[Gomukhāsana B]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Vīrabhadrāsana A]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis flexors, adductors), knee flexors. Back leg: hip extensors, knee extensors, back extensors, transversus abdominis, obliques, shoulder retractors and protractors, neck.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardha Matsyendrāsana]], [[Ālāsana]], [[Marīchyāsana C]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttotkaṭāsana]], [[Ekapādabakāsana A]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana C]].","Transition to [[Kouṇḍinyāsana B]], hold five breaths, then [[Chaturāṅgadaṇḍāsana]]; [[Mṛgāsana]], [[Marīchyāsana C]].","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Baddhakoṇāsana B]]",056
Parivritta Trikonasana,परिवृत्तत्रिकोणासन,Parivṛttatrikoṇāsana,Revolved Triangle Pose,Parivṛtta = revolved; Trikoṇa = triangle,ādhāra,Utthitatrikoṇāsana,Utthitapārśvakoṇāsana,x,,x,Conexion,8,"Front leg: calf, knee extensors, hip adductors and extensors, internal rotators of the leg. Back leg: calf, knee flexors, hip abductors and flexors, internal rotators of the leg. Obliques, chest, shoulder retractors and elevators, neck.","Parivrtta [[Ālāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana A]], [[Utthitatrikoṇāsana]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis flexors, adductors), knee extensors. Back leg: hip extensors, knee extensors, back extensors, transversus abdominis, obliques, shoulder retractors and protractors, elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Ālāsana]],[[Parivṛttārdhacandrāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana A]].",Transition to[[Parivṛttārdhacandrāsana]].,"[[Tāḍāsana]], [[Uttānāsana]], [[Vinyāsa]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Baddhakoṇāsana B]], [[Ardha Matsyendrāsana]], [[Marīchyāsana C]].",057
Parivrtta Utkatasana,परिवृत्तोत्कटासन,Parivṛttotkaṭāsana,Revolved Chair Pose,Parivṛtta = revolved; Utkaṭa = fierce/powerful; Āsana = posture,,,,,,x,Vitalidad,9,"Hip extensors and abductors, external rotators of the leg. Obliques, chest. Shoulder elevators, back of the neck.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]]. In itself a preparatory twist; may be modified by using a chair.","Intrinsic foot muscles, knee synergists, hip adductors, flexors, and extensors, back extensors, transversus abdominis, shoulder protractors, retractors, and depressors, shoulder extensor of lower arm.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Garuḍāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Tāḍāsana]], [[Utkaṭāsana]], [[Uttānāsana]].","Other twisting poses; [[Aṣṭavakrāsana]], [[Kouṇḍinyāsana A]],[[Parivṛttārdhacandrāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛtta Jānuśīrṣāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Pārśvabakāsana]].","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Uttānāsana]], [[Vinyāsa]].",058
Paschimottanasana A,पश्चिमोत्तानासन अ,Paścimottānāsana A,Seated Forward Bend A,Paścima = west; Uttāna = intense stretch,yoga cikitsā,Daṇḍāsana,Paścimottānāsana A,x,,,,7,"Calves, knee flexors, hip extensors, back extensors, shoulder retractors and elevators, chest, shoulder extensors.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Jānuśīrṣāsana A]], [[Suptapādāṅguṣṭhāsana A]].","Hip flexors, internal rotators of the leg, knee extensors, foot dorsiflexors, transversus abdominis, back extensors, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhottānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Halāsana]], [[Karṇapīḍāsana]], [[Pādahastāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","Transition to [[Halāsana]], [[Sarvāṅgāsana]], [[Karṇapīḍāsana]]; [[Upaviṣṭhakoṇāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Krouncāsana]], [[Kūrmāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].","[[Marīchyāsana]] and [[Supta Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Śavāsana]].",059
Phalakasana,फलकासन,Phalakāsana,Plank Pose,"Phalaka = plank, board; āsana = posture",,,,,,,,14,"Calves, hip flexors, shoulder elevators and retractors, wrist flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], ashtanga pranam sequence.","Foot dorsiflexors, knee extensors, hip adductors and flexors, internal rotators of the leg, abdominals, chest, external rotators of the arm, shoulder stabilizers (emphasis depressors, protractors), elbow extensors, wrist flexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Rājakapotāsana]], [[Baddhakoṇāsana A]], [[Tāḍāsana]].","Transition to [[Chaturāṅgadaṇḍāsana]]; press back to [[Adhomukhaśvānāsana]]; transition to [[Vasiṣṭhāsana]]; lower to Shishula [[Phalakāsana]], and do kapalabhati pranayama.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Bhuja]].",060
Pincha Mayurasana,पिञ्छमयूरासन,Piñchamayūrāsana,Feathered Peacock Pose,Piñcha = feather; Mayūra = peacock,nāḍī śodhana,Tiṭṭibhāsana C,Piñchamayūrāsan,x,,,,11,"Internal rotators of the arm, shoulder elevators and retractors, hip flexors, knee flexors.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Gomukhāsana B]] arms, [[Baddhakoṇāsana A]], [[Vajrāsana A]], [[Vīrabhadrāsana A]].","Wrist flexor/extensors, elbow flexors, shoulder stabilizers (emphasis protractors, flexors), internal rotators of the arm, abdominals, back extensors, hip stabilizers, internal rotators of the leg, knee extensors, calves.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Garuḍāsana]], [[Phalakāsana]], [[Pūrvottānāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Śīrṣāsana]], [[Baddhakoṇāsana A]].","[[Viparīccakrāsana]], [[Adhomukhavṛkṣāsana]], transition to [[Dvipādaviparītadaṇḍāsana]] (feet all the way down to the floor, extend legs).","[[Bālāsana]], [[Garuḍāsana]] arms, [[Marīchyāsana]] and [[Supta Matsyendrāsana]].",061
Pindasana,पिण्डासन​,Piṇḍāsana,Embryo Pose,Piṇḍa = embryo,yoga cikitsā,Garbhapiṇḍāsana,Piṇḍāsana,x,,,,"4,11","Hip adductors and extensors, internal rotators of the leg, back extensors, shoulder retractors and elevators.",[[Ūrdhvapadmāsana]] and its Prep poses.,"Shoulder stabilizers (emphasis retractors, adductors), back extensors, hip extensors, abdominals.","[[Adhomukhaśvānāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bhujapīḍāsana]], [[Garbhapiṇḍāsana]], [[Halāsana]], [[Karṇapīḍāsana]], [[Kūrmāsana]], [[Marīchyāsana A]], [[Padmāsana]], [[Paścimottānāsana A]], [[Sarvāṅgāsana]], [[Upaviṣṭhakoṇāsana A]], [[Ūrdhvapadmāsana]], [[Uttānāsana]].","Transition to [[Matsyāsana]], to [[Uttānapādāsana]], to [[Cakorāsana]].","[[Matsyāsana]] Prep, [[Uttānapādāsana]], [[Śavāsana]].",062
Prasarita Padottanasana A,प्रसारितपादोत्तानासन A,Prasāritapādottānāsana A,Wide-Legged Forward Bend A,Prasārita = spread out; Pāda = foot; Uttāna = intense stretch,ādhāra,Parivṛttapārśvakoṇāsana,Prasāritapādottānāsana B,x,,x,Conexion,8,"All variations: hip adductors and extensors, back extensors, shoulder elevators. C: shoulder flexors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]], [[Utthitatrikoṇāsana]].","Intrinsic foot muscles, knee extensors, hip stabilizers (emphasis flexors, adductors), transversus abdominis, back extensors, shoulder depressors. C: shoulder flexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]] [[Ardhottānāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Mālāsana]], [[Pārśvottānāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana B]].","[[Uttānāsana]], [[Śīrṣāsana]], transition to [[Śīrṣāsana B]] arm balance vinyasa, [[Upaviṣṭhakoṇāsana A]], [[Bakāsana B]].","[[Mālāsana]], [[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",063
Prasarita Padottanasana B,प्रसारितपादोत्तानासन B,Prasāritapādottānāsana B,Wide-Legged Forward Bend B,Prasārita = spread out; Pāda = foot; Uttāna = intense stretch,ādhāra,Prasāritapādottānāsana A,Prasāritapādottānāsana C,x,,,,8,"All variations: hip adductors and extensors, back extensors, shoulder elevators. C: shoulder flexors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]], [[Utthitatrikoṇāsana]].","Intrinsic foot muscles, knee extensors, hip stabilizers (emphasis flexors, adductors), transversus abdominis, back extensors, shoulder depressors. C: shoulder flexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]] [[Ardhottānāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Mālāsana]], [[Pārśvottānāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana B]].","[[Uttānāsana]], [[Upaviṣṭhakoṇāsana A]], [[Bakāsana B]].","[[Mālāsana]], [[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",064
Prasarita Padottanasana C,प्रसारितपादोत्तानासन C,Prasāritapādottānāsana C,Wide-Legged Forward Bend C,Prasārita = spread out; Pāda = foot; Uttāna = intense stretch,ādhāra,Prasāritapādottānāsana B,Prasāritapādottānāsana D,x,,,,8,"All variations: hip adductors and extensors, back extensors, shoulder elevators. C: shoulder flexors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]], [[Utthitatrikoṇāsana]].","intrinsic foot muscles, knee extensors, hip stabilizers (emphasis flexors, adductors), transversus abdominis, back extensors, shoulder depressors. C: shoulder flexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]] [[Ardhottānāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Mālāsana]], [[Pārśvottānāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana B]].","[[Bakāsana B]], [[Pūrvottānāsana]], [[Ūrdhva Dhanurāsana]], [[Sarvāṅgāsana]].","[[Mālāsana]], [[Garuḍāsana]], [[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",065
Prasarita Padottanasana D,प्रसारितपादोत्तानासन D,Prasāritapādottānāsana D,Wide-Legged Forward Bend D,Prasārita = spread out; Pāda = foot; Uttāna = intense stretch,ādhāra,Prasāritapādottānāsana C,Pārśvottānāsana,x,,,,8,"All variations: hip adductors and extensors, back extensors, shoulder elevators. C: shoulder flexors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]], [[Utthitatrikoṇāsana]].","Intrinsic foot muscles, knee extensors, hip stabilizers (emphasis flexors, adductors), transversus abdominis, back extensors, shoulder depressors. C: shoulder flexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]] [[Ardhottānāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Mālāsana]], [[Pādahastāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana B]].","[[Bakāsana B]], [[Uttānāsana]], [[Upaviṣṭhakoṇāsana A]].","[[Mālāsana]], [[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",066
